id,sido,sigungu,dong,street,mainNum,subNum,building,buildingDetail
1,서울특별시,종로구,명륜2가,성균관로,17,0,,
2,서울특별시,종로구,명륜1가,성균관로,38,12,,
3,서울특별시,종로구,와룡동,율곡로,99,0,창덕궁,
4,서울특별시,종로구,행촌동,통일로12길,80,0,,
5,서울특별시,종로구,행촌동,통일로12길,30,25,,
6,서울특별시,종로구,충신동,충신4길,17,14,,
7,서울특별시,종로구,행촌동,통일로12길,74,2,,
8,서울특별시,종로구,행촌동,통일로12길,24,16,,
9,서울특별시,종로구,충신동,충신4나길,19,2,,
10,서울특별시,종로구,평창동,평창10길,7,13,,
11,서울특별시,종로구,충신동,충신4길,1,0,,
12,서울특별시,종로구,평창동,평창11길,33,0,,
13,서울특별시,종로구,평창동,평창10길,7,7,,
14,서울특별시,종로구,행촌동,통일로12길,16,17,,
15,서울특별시,종로구,무악동,통일로12가길,8,2,,
16,서울특별시,종로구,평창동,평창11길,19,3,요진쉐레이빌라,8동
17,서울특별시,종로구,팔판동,팔판길,40,24,,
18,서울특별시,종로구,창신동,지봉로11길,2,0,,
19,서울특별시,종로구,숭인동,지봉로10길,10,1,,
20,서울특별시,종로구,숭인동,종로63길,49,0,,
21,서울특별시,종로구,숭인동,종로63가길,24,4,,
22,서울특별시,종로구,숭인동,지봉로10길,6,4,,
23,서울특별시,종로구,숭인동,종로65길,40,5,,
24,서울특별시,종로구,구기동,진흥로21길,13,0,힐탑빌라,
25,서울특별시,종로구,창신동,지봉로7길,27,0,,
26,서울특별시,종로구,숭인동,지봉로12나길,14,9,,
27,서울특별시,종로구,창신동,지봉로13길,75,3,,
28,서울특별시,종로구,창신동,지봉로7길,19,0,,
29,서울특별시,종로구,숭인동,지봉로12길,93,1,,
30,서울특별시,종로구,창신동,지봉로13길,48,0,폐기물 중간 처리장,
31,서울특별시,종로구,숭인동,지봉로8길,38,0,,
32,서울특별시,종로구,창성동,자하문로12길,11,5,,
33,서울특별시,종로구,통의동,자하문로10길,16,0,비스플라자,
34,서울특별시,종로구,평창동,평창길,137,2,,
35,서울특별시,종로구,평창동,평창길,25,2,,
36,서울특별시,종로구,누하동,필운대로5가길,7,0,,
37,서울특별시,종로구,경운동,인사동4길,17,0,,
38,서울특별시,종로구,관훈동,인사동16길,3,5,,
39,서울특별시,종로구,통인동,자하문로11길,29,0,,
40,서울특별시,종로구,창성동,자하문로10길,7,0,,
41,서울특별시,종로구,인사동,인사동4길,5,24,,
42,서울특별시,종로구,관훈동,인사동14길,12,0,,
43,서울특별시,종로구,창성동,자하문로12길,12,38,,
44,서울특별시,종로구,행촌동,인왕산로1길,62,2,,
45,서울특별시,종로구,인사동,인사동3길,29,0,,
46,서울특별시,종로구,관훈동,인사동14길,5,0,,
47,서울특별시,종로구,통인동,자하문로11길,26,0,,
48,서울특별시,종로구,행촌동,인왕산로1길,60,4,,
49,서울특별시,종로구,권농동,서순라길,97,0,,
50,서울특별시,종로구,당주동,새문안로5길,5,19,,
51,서울특별시,종로구,낙원동,삼일대로26길,10,0,,
52,서울특별시,종로구,운니동,삼일대로32길,31,18,,
53,서울특별시,종로구,권농동,서순라길,89,4,,
54,서울특별시,종로구,내수동,새문안로5가길,11,0,옥빌딩,
55,서울특별시,종로구,관철동,삼일대로19길,24,0,,
56,서울특별시,종로구,익선동,삼일대로32가길,50,0,,
57,서울특별시,종로구,봉익동,서순라길,75,0,,
58,서울특별시,종로구,당주동,새문안로3길,21,1,,
59,서울특별시,종로구,관철동,삼일대로19길,5,0,,
60,서울특별시,종로구,익선동,삼일대로32가길,36,0,,
61,서울특별시,종로구,봉익동,서순라길,43,7,,
62,서울특별시,종로구,관철동,삼일대로15길,3,0,,
63,서울특별시,종로구,사직동,사직로7길,10,0,,
64,서울특별시,종로구,내자동,사직로10길,9,0,,
65,서울특별시,종로구,사직동,사직로7길,1,0,,
66,서울특별시,종로구,구기동,비봉길,137,0,금선사,
67,서울특별시,종로구,구기동,비봉5길,43,1,,
68,서울특별시,종로구,필운동,사직로9가길,5,1,,
69,서울특별시,종로구,신문로2가,사직로6길,49,16,,
70,서울특별시,종로구,구기동,비봉5길,30,0,,
71,서울특별시,종로구,필운동,사직로9길,8,0,,
72,서울특별시,종로구,신문로2가,사직로6길,23,1,,
73,서울특별시,종로구,구기동,비봉5길,27,16,,
74,서울특별시,종로구,내자동,사직로8길,23,1,주한중국문화원,
75,서울특별시,종로구,사직동,사직로5길,28,0,미림주택,
76,서울특별시,종로구,명륜2가,대명길,26,0,,
77,서울특별시,종로구,창신동,낙산성곽동길,48,0,,
78,서울특별시,종로구,연건동,대학로7길,14,0,,
79,서울특별시,종로구,명륜4가,대명길,19,2,,
80,서울특별시,종로구,숭인동,난계로27길,69,6,동진빌딩,
81,서울특별시,종로구,명륜4가,대학로9가길,22,0,,
82,서울특별시,종로구,연건동,대학로5길,57,0,,
83,서울특별시,종로구,명륜4가,대명1길,19,0,,
84,서울특별시,종로구,봉익동,돈화문로10가길,23,1,,
85,서울특별시,종로구,연건동,대학로5길,48,0,,
86,서울특별시,종로구,명륜4가,대명1길,16,7,,
87,서울특별시,종로구,숭인동,난계로25길,83,0,,
88,서울특별시,종로구,명륜4가,대학로9길,21,0,,
89,서울특별시,종로구,연건동,대학로5길,29,1,,
90,서울특별시,종로구,혜화동,창경궁로35길,45,0,,
91,서울특별시,종로구,혜화동,창경궁로35길,40,0, , 
92,서울특별시,종로구,연지동,창경궁로16길,6,3,,
93,서울특별시,종로구,원남동,창경궁로20길,17,7,,
94,서울특별시,종로구,원남동,창경궁로20길,10,0,,원남태권도학원
95,서울특별시,종로구,원서동,창덕궁3가길,28,0,궁전빌라트,가동
96,서울특별시,종로구,계동,창덕궁1길,41,0,,
97,서울특별시,종로구,혜화동,창경궁로35길,38,0,,
98,서울특별시,종로구,혜화동,창경궁로35길,5,0,,
99,서울특별시,종로구,연지동,창경궁로16가길,28,1,우석빌딩,
100,서울특별시,종로구,원남동,창경궁로20길,6,0,,우신빌딩
101,서울특별시,종로구,원남동,창경궁로18길,22,3,,
102,서울특별시,종로구,계동,창덕궁1길,35,0,,
103,서울특별시,종로구,창신동,지봉로2길,9,0,,
104,서울특별시,종로구,숭인동,지봉로14길,21,3,,
105,서울특별시,종로구,구기동,진흥로22나길,28,6,,
106,서울특별시,종로구,신영동,진흥로22가길,63,0,,
107,서울특별시,종로구,창신동,지봉로17길,49,0,서일국제경영고등학교,
108,서울특별시,종로구,숭인동,낙산길,314,11,,
109,서울특별시,종로구,계동,계동길,68,0,,
110,서울특별시,종로구,계동,계동4길,15,9,,
111,서울특별시,종로구,필운동,필운대로1길,37,0,,
112,서울특별시,종로구,누상동,필운대로5가길,42,0,,
113,서울특별시,종로구,필운동,필운대로1길,34,0,배화여자대학교배화여자중고등학교,
114,서울특별시,종로구,평창동,평창길,95,0,,
115,서울특별시,종로구,평창동,평창길,6,8,,
116,서울특별시,종로구,누하동,필운대로5가길,13,3,,
117,서울특별시,종로구,가회동,북촌로11길,9,0,,
118,서울특별시,종로구,명륜1가,성균관로,58,15,,
119,서울특별시,종로구,부암동,인왕산로,245,0,,
120,서울특별시,종로구,수송동,우정국로,45,20,삼오모텔,
121,서울특별시,종로구,명륜1가,성균관로,54,29,,
122,서울특별시,종로구,이화동,율곡로,223,8,,
123,서울특별시,종로구,견지동,우정국로,42,0,,
124,서울특별시,종로구,명륜1가,성균관로,48,5,.,.
125,서울특별시,종로구,이화동,율곡로,215,8,이화빌딩,
126,서울특별시,종로구,와룡동,율곡로,99,0,창덕궁,
127,서울특별시,종로구,명륜2가,성균관로,24,1,,
