id	sido	sigungu	dong	street	mainNum	subNum	building	buildingDetail
28104	서울특별시	중랑구	면목동	면목로30길	19	30		
28105	서울특별시	중랑구	면목동	면목로28길	27	0	동서울연립	
28106	서울특별시	중랑구	면목동	면목로27길	77	9		
28107	서울특별시	중랑구	면목동	면목로24길	17	1		
28108	서울특별시	중랑구	망우동	망우로91길	40	5		
28109	서울특별시	중랑구	망우동	망우로77길	19	11		
28110	서울특별시	중랑구	망우동	망우로73길	71	5		
28111	서울특별시	중랑구	망우동	망우로72가길	4	0		
28112	서울특별시	중랑구	망우동	망우로68길	92	3		
28113	서울특별시	중랑구	망우동	망우로67가길	3	0		
28114	서울특별시	중랑구	면목동	면목로78길	12	16		
28115	서울특별시	중랑구	면목동	면목로76길	72	0		
28116	서울특별시	중랑구	면목동	면목로73길	41	0	대한익스프레스	
28117	서울특별시	중랑구	면목동	면목로73길	20	12	탑클래스	
28118	서울특별시	중랑구	면목동	면목로69길	42	8		
28119	서울특별시	중랑구	면목동	면목로65길	34	0		
28120	서울특별시	중랑구	면목동	면목로63길	53	0		
28121	서울특별시	중랑구	면목동	면목로60길	17	7		
28122	서울특별시	중랑구	면목동	봉우재로26길	36	0	우정아파트	
28123	서울특별시	중랑구	면목동	봉우재로20가길	25	3		
28124	서울특별시	중랑구	면목동	봉우재로14길	2	10		
28125	서울특별시	중랑구	면목동	봉우재로13길	12	0		
28126	서울특별시	중랑구	면목동	면목천로23길	34	6		
28127	서울특별시	중랑구	상봉동	동일로110길	20	0	미하우스	
28128	서울특별시	중랑구	면목동	동일로109길	28	13		
28129	서울특별시	중랑구	면목동	동일로101길	78	11		
28130	서울특별시	중랑구	면목동	답십리로83길	9	1		
28131	서울특별시	중랑구	면목동	답십리로81길	15	1		
28132	서울특별시	중랑구	면목동	답십리로77길	76	18		
28133	서울특별시	중랑구	면목동	답십리로77가길	20	3		
28134	서울특별시	중랑구	면목동	답십리로77가길	19	0		
28135	서울특별시	중랑구	묵동	공릉로4길	4	7	황금빌라트	
28136	서울특별시	중랑구	묵동	공릉로2길	50	6	서원맨션	
28137	서울특별시	중랑구	묵동	공릉로2길	8	7	 	 
28138	서울특별시	중랑구	묵동	공릉로14길	42	0	서림캐슬	 
28139	서울특별시	중랑구	묵동	공릉로14길	28	0		
28140	서울특별시	중랑구	묵동	공릉로12나길	8	18		
28141	서울특별시	중랑구	중화동	봉화산로15길	25	0	우승정원빌리지	B동
28142	서울특별시	중랑구	망우동	봉우재로71길	41	10		
28143	서울특별시	중랑구	망우동	봉우재로70길	15	4		
28144	서울특별시	중랑구	망우동	봉우재로64길	67	0	선경하이빌	
28145	서울특별시	중랑구	망우동	봉우재로58길	16	12		
28146	서울특별시	중랑구	망우동	봉우재로57길	58	34		
28147	서울특별시	중랑구	망우동	봉우재로55길	16	0		
28148	서울특별시	중랑구	상봉동	봉우재로43길	25	4		
28149	서울특별시	중랑구	상봉동	봉우재로37가길	3	6		
28150	서울특별시	중랑구	면목동	봉우재로32길	64	4		
28151	서울특별시	중랑구	중화동	봉화산로3길	25	8		
28152	서울특별시	중랑구	상봉동	봉화산로30길	108	0	임창빌라	라동
28153	서울특별시	중랑구	중화동	봉화산로30길	5	5		
28154	서울특별시	중랑구	면목동	사가정로45길	68	1		
28155	서울특별시	중랑구	면목동	사가정로42길	33	0	강원카센타	
28156	서울특별시	중랑구	면목동	사가정로29길	8	0		
28157	서울특별시	중랑구	신내동	봉화산로56길	99	9		
28158	서울특별시	중랑구	중화동	봉화산로4길	64	5		
28159	서울특별시	중랑구	중화동	봉화산로4길	48	0		
28160	서울특별시	중랑구	묵동	봉화산로3길	222	0		
28161	서울특별시	중랑구	중화동	봉화산로3길	56	10		
28162	서울특별시	중랑구	면목동	상봉로1길	18	11		
28163	서울특별시	중랑구	면목동	상봉로17길	17	0		
28164	서울특별시	중랑구	면목동	상봉로15나길	32	0		
28165	서울특별시	중랑구	망우동	상봉로14길	32	0		
28166	서울특별시	중랑구	면목동	상봉로11길	5	4		
28167	서울특별시	중랑구	면목동	사가정로54길	46	0		
28168	서울특별시	중랑구	중화동	중랑천로18길	6	0		
28169	서울특별시	중랑구	중화동	중랑천로17나길	11	8		
28170	서울특별시	중랑구	상봉동	중랑천로12길	45	0	지앤지타운	
28171	서울특별시	중랑구	상봉동	중랑천로12길	22	6		
28172	서울특별시	중랑구	상봉동	중랑천로10길	39	9		
28173	서울특별시	중랑구	묵동	중랑역로47길	22	11	 	 
28174	서울특별시	중랑구	묵동	중랑역로47길	17	10		
28175	서울특별시	중랑구	중화동	중랑역로3나길	46	11		
28176	서울특별시	중랑구	중화동	중랑역로3나길	43	0		
28177	서울특별시	중랑구	중화동	중랑역로3가길	19	0	새롬힐링	
28178	서울특별시	중랑구	면목동	봉우재로36길	4	0		
28179	서울특별시	중랑구	면목동	봉우재로32길	52	0		
28180	서울특별시	중랑구	중화동	봉화산로3길	25	5		
28181	서울특별시	중랑구	중화동	봉화산로3길	14	0	대호목욕탕	 
28182	서울특별시	중랑구	상봉동	봉화산로30길	103	11		
28183	서울특별시	중랑구	중화동	봉화산로2길	65	2		
28184	서울특별시	중랑구	중화동	봉화산로27다길	9	4		
28185	서울특별시	중랑구	중화동	봉화산로26길	44	12	중화아트빌	
28186	서울특별시	중랑구	중화동	봉화산로24길	23	0		
28187	서울특별시	중랑구	중화동	봉화산로1길	26	0		
28188	서울특별시	중랑구	중화동	봉화산로10길	7	0		
28189	서울특별시	중랑구	망우동	봉우재로71길	33	0		
28190	서울특별시	중랑구	망우동	봉우재로70길	101	0		
28191	서울특별시	중랑구	망우동	봉우재로69길	15	0	경수빌라	
28192	서울특별시	중랑구	면목동	상봉로15나길	24	1		
28193	서울특별시	중랑구	면목동	상봉로15나길	15	0		
28194	서울특별시	중랑구	망우동	상봉로14길	19	0		
28195	서울특별시	중랑구	면목동	사가정로71길	54	0		
28196	서울특별시	중랑구	면목동	사가정로54길	22	0	성민교회	
28197	서울특별시	중랑구	면목동	사가정로50길	13	0		
28198	서울특별시	중랑구	면목동	사가정로46길	37	35		
28199	서울특별시	중랑구	면목동	사가정로45길	29	0		
28200	서울특별시	중랑구	면목동	사가정로41길	45	0	면목3치안센터	
28201	서울특별시	중랑구	중화동	봉화산로3길	48	0		
28202	서울특별시	중랑구	중화동	봉화산로33길	33	6	중화파크빌	
28203	서울특별시	중랑구	상봉동	봉화산로30길	59	0	세리부다세대주택	에이동
28204	서울특별시	중랑구	중화동	봉화산로2길	34	5	대광맨션	B동
28205	서울특별시	중랑구	신내동	신내역로3길	56	0	 	주건축물제2동
28206	서울특별시	중랑구	신내동	신내역로1가길	19	0	 	 
28207	서울특별시	중랑구	상봉동	면목로92길	34	0		
28208	서울특별시	중랑구	상봉동	면목로91길	6	18	金塘Ⅱ 오피스텔	
28209	서울특별시	중랑구	상봉동	면목로85길	11	0		
28210	서울특별시	중랑구	면목동	면목로80길	24	0		
28211	서울특별시	중랑구	면목동	면목로78길	40	8		
28212	서울특별시	중랑구	면목동	면목로74길	34	0		
28213	서울특별시	중랑구	면목동	면목로57길	12	0	영우오렌지하우스	
28214	서울특별시	중랑구	면목동	면목로56길	44	0	동부꿈나무미술학원	
28215	서울특별시	중랑구	면목동	면목로56가길	21	0	한터어린이집	
28216	서울특별시	중랑구	면목동	면목로55길	72	0		
28217	서울특별시	중랑구	면목동	면목로55길	13	6		
28218	서울특별시	중랑구	면목동	면목로54길	37	0		
28219	서울특별시	중랑구	면목동	면목로54길	21	0		
28220	서울특별시	중랑구	중화동	동일로136나길	25	0	중화동다세대주택	
28221	서울특별시	중랑구	중화동	동일로130길	52	0	건형빌딩	
28222	서울특별시	중랑구	상봉동	동일로126나길	23	0		
28223	서울특별시	중랑구	중화동	동일로126길	13	4		
28224	서울특별시	중랑구	중화동	동일로123길	104	18		
28225	서울특별시	중랑구	중화동	동일로123길	16	0		
28226	서울특별시	중랑구	상봉동	동일로120길	59	36		
28227	서울특별시	중랑구	상봉동	동일로114길	6	3		
28228	서울특별시	중랑구	면목동	동일로109길	62	20		
28229	서울특별시	중랑구	면목동	동일로102길	13	0	제니스빌8차	 
28230	서울특별시	중랑구	면목동	동일로100길	47	3		
28231	서울특별시	중랑구	묵동	동일로146길	55	0		
28232	서울특별시	중랑구	묵동	동일로143길	76	0		
